Slug,Score,Max Potential Score,Num Entrants
not a startgg link,,,
tournament/super-n-rre-bros-21-holiday-special/event/ultimate-singles,192,192,24
tournament/sweetspot-deluxe-2-250-prize-pool/event/ultimate-singles,231,331,37
tournament/33-sp-1/event/1on1,612,662,192
tournament/japan-24/event/singles,2324,2474,24
tournament/sp17/event/higobrasp,256,256,63
tournament/1up-funkmas/event/ultimate-singles,93,93,31
tournament/dawn-10-1/event/dawn-10,431,451,41
tournament/nick-nite-invitational/event/ultimate-singles,116,116,16
tournament/snow-ball-smash-out/event/ultimate-singles,225,325,95
tournament/kyojin-dojo/event/ultimate-singles,2123,2213,121
tournament/-1570/event/sp,312,312,64
tournament/34-sp-1/event/1on1,1597,1597,157
tournament/ignition-300/event/ultimate-singles,597,647,307
tournament/2-65/event/1v1,257,257,49
tournament/batavia-brawl-2/event/singles,210,250,50
tournament/code-red-4/event/ultimate-singles,150,150,75
tournament/couchwarriors-vic-january-ranking-battle-2023-smash-cwleague/event/smash-ultimate-singles,280,330,60
tournament/set-count-2-1/event/ultimate-singles-1v1-1000-prize-pool,452,452,192
tournament/smash-houille-5/event/ultimate-singles,84,84,64
tournament/the-first-annual-ohio-smash-awards/event/ultimate-singles,86,86,86
tournament/the-smashing-future/event/super-smash-bros-ultimate-singles,574,574,112
not a startgg link,,,
tournament/abierto-namis/event/namis-singles,638,808,109
tournament/let-s-make-big-moves-2023/event/ultimate-singles,7644,8224,774
tournament/rankings-5/event/ultimate-singles,319,319,53
tournament/sp9-umeburasp9/event/singles,7374,7514,1024
tournament/sp10-okasumasp-10/event/singles-tournament,420,420,90
tournament/12-15/event/singles,208,208,36
tournament/bit-master-mty-14/event/super-smash-bros-ultimate-singles,410,460,85
tournament/enders-zone-3/event/ultimate-singles-1-vs-1,272,272,61
tournament/evo-chacra-2023/event/ultimate-singles,324,424,48
tournament/falchion-finale/event/ultimate-singles,138,158,46
tournament/heartbeat-v/event/ultimate-singles,218,248,128
tournament/kick-it-back-4-sponsored-by-lufc-130-pot-bonus/event/ultimate-singles,376,406,76
tournament/le-pantheon-3-1/event/bracket-pantheon-3,80,90,80
tournament/mi-temps/event/singles-ssbu,518,518,128
tournament/okay-this-is-epping-12/event/ultimate-singles,280,280,75
tournament/the-slg-open-in-memory-of-our-friend-carter-reidelbach/event/ultimate-singles,66,66,66
tournament/tournoi-sainte-marie-3/event/tournoi-sainte-marie-3,117,117,39
tournament/unlock-2/event/unlock-2,126,126,32
tournament/gen-1-0/event/special-1on1-ultimate-singles,1448,1478,128
tournament/grandslam-10/event/ultimate-singles,989,1039,129
tournament/smash-albuquerque-comic-con/event/ultimate-singles,128,128,128
tournament/smashborg-winter-seasonal-2023/event/ultimate-singles,774,824,128
tournament/smashuk-ie-circuit-finale-2022/event/the-finale,530,530,20
tournament/super-sunshine-smash-january-2023/event/smash-ultimate-singles,322,372,61
tournament/the-true-beginning-reborn/event/ultimate-singles,674,804,87
tournament/tvs-takeover/event/invitational-ultimate-singles,466,466,16
tournament/zendo-tournament-the-last-one/event/zendo-tournament-the-last-one,65,95,65
tournament/33-kurobra33/event/sp-1on1,98,128,48
tournament/ern-s-dunkfest-1/event/singles,250,300,80
tournament/esports-game-arena-fight-night-xl-4/event/ultimate-singles,296,296,73
